sentence,target,idx
One more pseudo generalization and I'm giving up.,0,1
One more pseudo generalization or I'm giving up.,0,2
"The more we study verbs, the crazier they get.",0,3
Day by day the facts are getting murkier.,0,4
I'll fix you a drink.,0,5
Fred watered the plants flat.,0,6
Bill coughed his way out of the restaurant.,0,7
We're dancing the night away.,0,8
Herman hammered the metal flat.,0,9
The critics laughed the play off the stage.,0,10
The pond froze solid.,0,11
Bill rolled out of the room.,0,12
The gardener watered the flowers flat.,0,13
The gardener watered the flowers.,0,14
Bill broke the bathtub into pieces.,0,15
Bill broke the bathtub.,0,16
They drank the pub dry.,0,17
The professor talked us into a stupor.,0,19
We yelled ourselves hoarse.,0,21
Harry coughed himself into a fit.,0,24
Bill followed the road into the forest.,0,27
We drove Highway 5 from SD to SF.,0,28
Fred tracked the leak to its source.,0,29
John danced waltzes across the room.,0,30
Bill urinated out the window.,0,31
Bill coughed out the window.,0,32
Bill bled on the floor.,0,33
The toilet leaked through the floor into the kitchen below.,0,34
Bill ate off the floor.,0,35
Bill drank from the hose.,0,36
This metal hammers flat easily.,0,37
They made him president.,0,38
They made him angry.,0,39
They made him into a monster.,0,43
The trolley rumbled through the tunnel.,0,44
The wagon rumbled down the road.,0,45
The bullets whistled past the house.,0,46
The knee replacement candidate groaned up the stairs.,0,47
The dog barked its way out of the room.,0,50
Bill whistled his way past the house.,0,51
The witch vanished into the forest.,0,52
Bill disappeared down the road.,0,53
The witch went into the forest and thereby vanished.,0,55
The building is tall and wide.,0,56
This building is taller and wider than that one.,0,58
This building got taller and wider than that one.,0,59
This building got taller and taller.,0,60
Bill floated into the cave.,0,64
Bill floated down the river for hours.,0,67
Bill floated down the river.,0,68
Bill pushed Harry along the trail for hours.,0,69
Bill pushed Harry along the trail.,0,70
The road zigzagged down the hill.,0,71
The rope stretched over the pulley.,0,72
The weights stretched the rope over the pulley.,0,73
The weights kept the rope stretched over the pulley.,0,74
Sam cut himself free.,0,75
Sam got free by cutting his finger.,0,76
Bill cried himself to sleep.,0,77
Bill squeezed himself through the hole.,0,79
Bill sang himself to sleep.,0,80
Bill squeezed the puppet through the hole.,0,81
Bill sang Sue to sleep.,0,82
"If the telephone rang, it could ring itself silly.",0,84
The tiger bled to death.,0,87
"He coughed awake and we were all overjoyed, especially Sierra.",0,88
"John coughed awake, rubbing his nose and cursing under his breath.",0,89
John coughed himself awake on the bank of the lake where he and Bill had their play.,0,90
Ron yawned himself awake.,0,91
She coughed herself awake as the leaf landed on her nose.,0,92
The worm wriggled onto the carpet.,0,93
The chocolate melted onto the carpet.,0,94
Bill wriggled himself loose.,0,96
Aliza wriggled her tooth loose.,0,97
The off center spinning flywheel shook itself loose.,0,98
"The more you eat, the less you want.",0,99
"If you eat more, you want correspondingly less.",0,100
"When you eat more, you want correspondingly less.",0,101
"As you eat more, you want correspondingly less.",0,102
"The angrier Sue gets, the more Fred admires her.",0,104
"The more that you eat, the less that you want.",0,105
"The angrier that Sue gets, the more that Fred admires her.",0,106
"I think that the more you eat, the less you want.",0,107
"I'm not shocked by the idea that the more you eat, the less you want.",0,108
"It is obvious that the more you eat, the less you want.",0,109
"It is not entirely clear if the more you eat, the less you want.",0,110
